fold,identity_1,cache_filename_1,identity_2,cache_filename_2
Asian_Females,lee_jung_hyun,lee_jung_hyun_0051.npy,lucy_liu,lucy_liu_0044.npy
Asian_Females,anna_tsuchiya,anna_tsuchiya_0001.npy,maggie_q,maggie_q_0240.npy
Asian_Females,minori_chihara,minori_chihara_0019.npy,gong_seung_yeon,gong_seung_yeon_0032.npy
Asian_Females,maureen_mendoza,maureen_mendoza_0028.npy,zhou_xun,zhou_xun_0036.npy
Asian_Females,aubrey_anderson-emmons,aubrey_anderson-emmons_0029.npy,gong_seung_yeon,gong_seung_yeon_0022.npy
Asian_Females,jun_hasegawa,jun_hasegawa_0050.npy,mika_nakashima,mika_nakashima_0037.npy
Asian_Females,anna_tsuchiya,anna_tsuchiya_0050.npy,tina_q_nguyen,tina_q_nguyen_0056.npy
Asian_Females,sumetal,sumetal_0012.npy,zhou_xun,zhou_xun_0013.npy
Asian_Females,maureen_mendoza,maureen_mendoza_0006.npy,fumino_kimura,fumino_kimura_0055.npy
Asian_Females,zhou_xun,zhou_xun_0057.npy,li_yuchun,li_yuchun_0048.npy
Asian_Females,lucy_liu,lucy_liu_0001.npy,anna_maria_perez_de_tagle,anna_maria_perez_de_tagle_0093.npy
Asian_Females,zhou_xun,zhou_xun_0031.npy,tila_tequila,tila_tequila_0946.npy
Asian_Females,minori_chihara,minori_chihara_0019.npy,fumino_kimura,fumino_kimura_0007.npy
Asian_Females,xu_jinglei,xu_jinglei_0016.npy,maggie_q,maggie_q_0281.npy
Asian_Females,jinny_ng,jinny_ng_0049.npy,tila_tequila,tila_tequila_0955.npy
Asian_Females,lee_young_ae,lee_young_ae_0020.npy,tila_tequila,tila_tequila_0946.npy
Asian_Females,anna_maria_perez_de_tagle,anna_maria_perez_de_tagle_0082.npy,fumino_kimura,fumino_kimura_0028.npy
Asian_Females,anna_tsuchiya,anna_tsuchiya_0003.npy,li_na_tennis,li_na_tennis_0010.npy
Asian_Females,puff_guo,puff_guo_0010.npy,maureen_mendoza,maureen_mendoza_0007.npy
Asian_Females,gong_hyo_jin,gong_hyo_jin_0059.npy,ming_xi,ming_xi_0062.npy
Asian_Females,lee_jung_hyun,lee_jung_hyun_0058.npy,vivian_wu,vivian_wu_0012.npy
Asian_Females,minori_chihara,minori_chihara_0049.npy,jinny_ng,jinny_ng_0027.npy
Asian_Females,gong_seung_yeon,gong_seung_yeon_0039.npy,moametal,moametal_0043.npy
Asian_Females,gong_hyo_jin,gong_hyo_jin_0029.npy,lucy_liu,lucy_liu_0001.npy
Asian_Females,xu_jinglei,xu_jinglei_0012.npy,momoe_yamaguchi,momoe_yamaguchi_0042.npy
Asian_Females,xu_jinglei,xu_jinglei_0041.npy,able_wanamakok,able_wanamakok_0041.npy
Asian_Females,able_wanamakok,able_wanamakok_0007.npy,vivian_wu,vivian_wu_0013.npy
Asian_Females,fumino_kimura,fumino_kimura_0055.npy,li_yuchun,li_yuchun_0069.npy
Asian_Females,momoe_yamaguchi,momoe_yamaguchi_0038.npy,maggie_q,maggie_q_0281.npy
Asian_Females,anna_tsuchiya,anna_tsuchiya_0050.npy,sumetal,sumetal_0054.npy
Asian_Females,anna_tsuchiya,anna_tsuchiya_0001.npy,maureen_mendoza,maureen_mendoza_0028.npy
Asian_Females,lucy_liu,lucy_liu_0004.npy,moametal,moametal_0043.npy
Asian_Females,tila_tequila,tila_tequila_0951.npy,li_na_tennis,li_na_tennis_0041.npy
Asian_Females,fumino_kimura,fumino_kimura_0062.npy,tila_tequila,tila_tequila_0909.npy
Asian_Females,aubrey_anderson-emmons,aubrey_anderson-emmons_0014.npy,lucy_liu,lucy_liu_0013.npy
Asian_Females,lucy_liu,lucy_liu_0013.npy,able_wanamakok,able_wanamakok_0007.npy
Asian_Females,shin_min_a,shin_min_a_0052.npy,jinny_ng,jinny_ng_0049.npy
Asian_Females,lee_young_ae,lee_young_ae_0009.npy,gong_hyo_jin,gong_hyo_jin_0026.npy
Asian_Females,sumetal,sumetal_0013.npy,momoe_yamaguchi,momoe_yamaguchi_0032.npy
Asian_Females,maggie_q,maggie_q_0210.npy,zhou_xun,zhou_xun_0000.npy
Asian_Females,jinny_ng,jinny_ng_0049.npy,maggie_q,maggie_q_0289.npy
Asian_Females,ming_xi,ming_xi_0009.npy,gong_hyo_jin,gong_hyo_jin_0021.npy
Asian_Females,tila_tequila,tila_tequila_0955.npy,minori_chihara,minori_chihara_0031.npy
